"city","province","num_of_postings"
"Toronto","ON","158"
"Remote","","69"
"Calgary","AB","40"
"Mississauga","ON","39"
"Montréal","QC","37"
"Vancouver","BC","28"
"Edmonton","AB","28"
"Ottawa","ON","14"
"Brampton","ON","14"
"Surrey","BC","13"
"Burnaby","BC","10"
"Winnipeg","MB","9"
"Halifax","NS","9"
"Markham","ON","8"
"London","ON","7"
"North York","ON","6"
"Waterloo","ON","6"
"Oakville","ON","6"
"Vaughan","ON","5"
"Guelph","ON","5"
"Burlington","ON","5"
"Concord","ON","5"
"Richmond Hill","ON","4"
"Dorval","QC","4"
"Richmond","BC","4"
"Windsor","ON","4"
"Greater Toronto Area","ON","4"
"Kitchener","ON","4"
"Saint John","NB","4"
"Regina","SK","3"
"Dartmouth","NS","3"
"North Vancouver","BC","3"
"Brossard","QC","3"
"Saint-Laurent","QC","3"
"Abbotsford","BC","3"
"Aurora","ON","3"
"Leduc","AB","2"
"Dieppe","NB","2"
"Saskatoon","SK","2"
"Hamilton","ON","2"
"Victoria","BC","2"
"St. Thomas","ON","2"
"Red Deer","AB","2"
"Cambridge","ON","2"
"Etobicoke","ON","2"
"Millet","AB","2"
"Beaumont","AB","2"
"Scarborough","ON","2"
"Sherbrooke","QC","2"
"Sparwood","BC","1"
"Bedford","NS","1"
"Orillia","ON","1"
"Maple Ridge","BC","1"
"Headquarters","BC","1"
"Kelowna","BC","1"
"Whiteshell","MB","1"
"Unionville","ON","1"
"Milton","ON","1"
"Cobourg","ON","1"
"Sioux Lookout","ON","1"
"Whitby","ON","1"
"Chilliwack","BC","1"
"Don Mills","ON","1"
"Brooks","AB","1"
"Bolton","ON","1"
"Saguenay","QC","1"
"Port Coquitlam","BC","1"
"Acheson","AB","1"
"Greater Napanee","ON","1"
"Metro Vancouver Regional District","BC","1"
"Fort Saskatchewan","AB","1"
"Kingston","ON","1"
"Halton","ON","1"
"Sherwood Park","AB","1"
"Engineer","BC","1"
"Hannon","ON","1"
"Coquitlam","BC","1"
"St. Catharines","ON","1"
"Woodbridge","ON","1"
"Georgetown","ON","1"
"Langley","BC","1"
"Newmarket","ON","1"
"Princess Margaret","ON","1"
"Courtenay","BC","1"
"Whitehorse","YT","1"
"Squamish","BC","1"
"Greater Sudbury","ON","1"
"Uxbridge","ON","1"
"Dawson Creek","BC","1"
