job_title,company,location
Data Analyst,LawDepot,"Hybrid work in Edmonton, AB"
"Senior Analyst, Clinical Analytics",Ontario Health,"Hybrid work in Toronto, ON"
IT Business Analyst,Overland Container Transportation Services Corp,"Acheson, AB"
"Business, Data & Quality Assurance Analyst",Government of Alberta,"Edmonton, AB"
Data Analyst,Jam City,Remote
Junior Analyst,Paris Jewellers,"Edmonton, AB"
Data Analyst,Hard Rock Digital,Hybrid work
database analyst,Stellar Logistical and Marketing Services Ltd,"Edmonton, AB"
Data and Reporting Analyst Co-op/Intern,NOKIA,Remote in Canada
Data Analyst,Utility Source Inc.,Remote
ETL Analyst,City of Edmonton,"Edmonton, AB"
Data Quality Analyst,Mitsubishi HC Capital Canada,"Calgary, AB"
Business Intelligence Analyst,CWB Financial Group,"Edmonton, AB"
Analyst - Data & Analytics,WestJet,"Hybrid work in Calgary, AB"
Data Analyst,University of Alberta,"Hybrid work in Edmonton, AB"
RES O 21R - Data Analyst,BC Public Service,"Abbotsford, BC"
"Senior Analyst, Environmental, Social and Governance",Lactalis Canada Inc,"Hybrid work in Etobicoke, ON"
Junior Data Analyst - Trainee Position,Yukon First Nation Education Directorate,"Whitehorse, YT"
Data Analyst,FanDuel,"Toronto, ON"
Business Data Analyst,RideCo,"Hybrid work in Waterloo, ON"
data analyst - informatics and systems,Skycruise Tech,"Brooks, AB"
ICQA Data Analyst,"Amazon Canada Fulfillment Services, ULC.","St. Thomas, ON"
Data Analyst,crbnx inc.,"Greater Toronto Area, ON"
Senior Customer Data Analyst - Remote,League Inc.,Remote
"Sr. Analyst, Data and Insights",McKesson,"Mississauga, ON"
Data Security Analyst,CWB Financial Group,"Edmonton, AB"
Data Analyst (Hybrid),Workplace Safety and Insurance Board,"Toronto, ON"
Systems Analyst,EPCOR,"Hybrid work in Edmonton, AB"
GIS Analyst - Data,The Corporation of the City of Markham,"Markham, ON"
Business Intelligence Analyst,WorkSafeNB,"Saint John, NB"
GIS Analyst - Data,The Corporation of the City of Markham,"Markham, ON"
Data Governance Analyst,TD Bank,"Toronto, ON"
Analyst,Government of Alberta,"Edmonton, AB"
Business Analyst,GDS,"Remote in Greater Toronto Area, ON"
Business Analyst (Epic Project),Newfoundland and Labrador Centre for Health...,Hybrid work in Newfoundland and Labrador
Business Analyst,Island Health,"Remote in Nanaimo, BC"
RES O 24R - Marketing Data Analyst,BC Public Service,Hybrid work in British Columbia
Data Analyst,Invafresh,"Mississauga, ON"
GTFS Data Analyst,MobilityData,"Montréal, QC"
Exploration Data Analyst/Programmer,Canadian Natural,"Calgary, AB"
Data Analyst,CI Financial,"Hybrid work in Toronto, ON"
Data Analyst Intermediate,"MobileComm, Inc.","Don Mills, ON"
Data Analyst,PERI,"Bolton, ON"
Senior Data Analyst,Dawn InfoTek Inc.,"Hybrid work in Toronto, ON"
Jr. Business Analyst,PHSA,"Vancouver, BC"
Evergreen - Business Analyst - Winnipeg (Remote for Winnipeg),Togetherwork Talent Community,"Remote in Winnipeg, MB"
Data Analyst,Nanometrics Inc,"Ottawa, ON"
Study Coordinator/Data Analyst,Western University,"London, ON"
Data & Analytics - Lead Data Analyst,Aritzia,"Vancouver, BC"
Business Intelligence Analyst,OpenCircle Association,"Edmonton, AB"
(Remote) Business Analyst,Harris Computer Systems,Remote in Alberta
Cybersecurity Awareness Analyst,Atco Ltd.,"Calgary, AB"
Business Analyst Intern (Part-time),Hikvision Canada,"Mississauga, ON"
Business and Data Analyst,Connexall,"Hybrid work in North York, ON"
Intermediate Data Analyst,SNDL,"Edmonton, AB"
"Analyst, Data valorization",Desjardins,"Remote in Montréal, QC"
Business Intelligence Analyst,Sobeys,"Calgary, AB"
Data Analyst - Informatics and Systems,Snaplii,"Mississauga, ON"
Data Analyst,Lifemark Health Group,"Hybrid work in Toronto, ON"
Business Intelligence Analyst,Farm Credit Canada,"Regina, SK"
Data Analyst,Lifemark Health Group,"Hybrid work in Toronto, ON"
"Analyst, Product Management",CIBC,"Toronto, ON"
GenAI Business Analyst,Paralucent,Remote
Data Analyst,Veeva Systems,"Toronto, ON"
Data Analyst (ERP),Vantix Systems Inc,"Remote in Edmonton, AB"
Early Careers: Compensation Analyst Intern – Summer 2024,WTW,"Montréal, QC"
Data Analyst,Mindshare,"Toronto, ON"
"Co-op, Strategic Insights Analyst, Fall 2024",Loblaw Companies Limited,"Hybrid work in Brampton, ON"
Data Analyst,Invafresh,"Mississauga, ON"
database analyst,SR CARGO WORLD INC.,"Edmonton, AB"
Data Analyst - Contract,DP World,"Burnaby, BC"
Data Quality Analyst,Equifax,"Toronto, ON"
Data Migration Analyst,WELL Health Technologies Corp,"Toronto, ON"
"Co-op. Research Operations Analyst, Fall 2024",Loblaw Companies Limited,"Hybrid work in Brampton, ON"
SME - Urban Agriculture Research Analyst,Durham College,"Whitby, ON"
Supply Chain Insights Analyst,Federated Co-operatives Limited,Canada
Data Analyst,ATB Financial,"Hybrid work in Calgary, AB"
Marketing Data Analyst,Ubisoft,"Montréal, QC"
Senior Data Analyst,Wave HQ,Remote
